# Pathway	PCMP_EBneg1.cat.filtered2_Abundance	PCMP_EBneg2.cat.filtered2_Abundance	PCMP_L001.cat.filtered2_Abundance	PCMP_L002.cat.filtered2_Abundance	PCMP_L006.cat.filtered2_Abundance	PCMP_L011.cat.filtered2_Abundance	PCMP_L018.cat.filtered2_Abundance	PCMP_L039.cat.filtered2_Abundance	PCMP_L041.cat.filtered2_Abundance	PCMP_L051.cat.filtered2_Abundance	PCMP_L063.cat.filtered2_Abundance	PCMP_L066.cat.filtered2_Abundance	PCMP_L069.cat.filtered2_Abundance	PCMP_L077.cat.filtered2_Abundance	PCMP_L079.cat.filtered2_Abundance	PCMP_L089.cat.filtered2_Abundance	PCMP_L1.cat.filtered2_Abundance	PCMP_L104.cat.filtered2_Abundance	PCMP_L108.cat.filtered2_Abundance	PCMP_L111.cat.filtered2_Abundance	PCMP_L113.cat.filtered2_Abundance	PCMP_L117.cat.filtered2_Abundance	PCMP_L118.cat.filtered2_Abundance	PCMP_NL087.cat.filtered2_Abundance	PCMP_NL090.cat.filtered2_Abundance	PCMP_NL091.cat.filtered2_Abundance	PCMP_NL093.cat.filtered2_Abundance	PCMP_NL099.cat.filtered2_Abundance	PCMP_NL100.cat.filtered2_Abundance	PCMP_NL101.cat.filtered2_Abundance	PCMP_NL102.cat.filtered2_Abundance	PCMP_NL105.cat.filtered2_Abundance	PCMP_NL108.cat.filtered2_Abundance	PCMP_NL114.cat.filtered2_Abundance	PCMP_NL119.cat.filtered2_Abundance	PCMP_NL121.cat.filtered2_Abundance	PCMP_NL122.cat.filtered2_Abundance	PCMP_NL125.cat.filtered2_Abundance	PCMP_NL128.cat.filtered2_Abundance	PCMP_NL129.cat.filtered2_Abundance	PCMP_NL130.cat.filtered2_Abundance	PCMP_NL131.cat.filtered2_Abundance	PCMP_NL132.cat.filtered2_Abundance	PCMP_T1.cat.filtered2_Abundance	PCMP_X2.cat.filtered2_Abundance	PCMP_Z2.cat.filtered2_Abundance	PCMP_vibriolambda1.cat.filtered2_Abundance	PCMP_vibriolambda2.cat.filtered2_Abundance
PWY-6313: serotonin degradation	12	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	35	0	0	0	0	0	0	0	0	0	0
PWY-6317: galactose degradation I (Leloir pathway)	0	0	1311	327	566	1361	1673	3195	469	330	1966	1345	305	258	538	528	4310	2939	1991	1706	1912	837	4282	388	114	2647	1752	29	803	4343	857	106	643	646	256	1433	1301	81	1880	676	40	129	2204	3921	3102	3485	1391	0
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	12	137	0	0	10	0	0	15	0	0	7	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	10	8	0	0	0	15	2	9	0	0	12	20	0	0	0	0	0	118	96	116	0	0
PWY-6344: L-ornithine degradation II (Stickland reaction)	0	0	67	0	0	0	0	0	0	84	0	283	75	0	95	97	0	0	0	150	206	0	0	311	42	0	465	0	13	0	202	0	145	0	16	103	249	128	0	35	0	0	56	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	0	0	284	111	451	431	357	521	326	289	389	392	374	108	430	167	365	1055	635	1001	598	444	678	320	146	1166	692	0	620	872	370	138	138	124	32	258	228	69	455	117	52	75	501	450	400	438	28	0
PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis	0	0	65	101	171	124	18	81	53	101	66	162	163	139	76	84	694	189	170	84	99	0	31	199	31	273	262	33	171	185	270	66	121	44	129	449	292	99	32	214	10	12	191	799	690	666	0	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	18	125	4234	3487	2728	3992	3711	4221	6442	5334	3649	6798	4832	5655	6401	5714	4724	4803	4710	4373	4468	1952	5291	5485	3736	3841	10477	48	5963	6170	7038	4777	3932	2480	4746	7081	3757	2823	2868	5667	660	659	6444	5159	4028	4630	1436	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	18	111	4453	3766	3131	4604	3861	4836	7278	5816	4177	7502	5320	6124	7030	6526	4743	4878	5245	4750	4991	2099	5598	5790	4162	4451	11912	73	6742	6680	7426	5379	4623	2655	5563	7607	4196	3107	3316	6324	866	751	7203	5289	4136	4670	1477	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	17	117	4779	3742	3011	4478	4736	4660	7206	5675	3937	7454	5208	5916	6880	6478	4663	4800	5137	4690	4843	2027	5431	5588	4049	4362	11706	67	6681	6526	7216	5332	4565	2580	5515	7393	4101	3066	3241	6230	831	735	7040	5204	4082	4613	1503	0
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	8	0	0	0	0	0	7	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6415: L-ascorbate biosynthesis V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6433: hydroxylated fatty acid biosynthesis (plants)	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis V	0	0	31	0	29	33	0	0	0	13	15	8	0	0	77	0	0	0	38	36	0	0	21	65	38	29	61	0	42	0	135	0	58	0	0	28	90	10	0	0	0	0	0	0	0	0	0	0
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	0	0	0	0	0	0	0	0	0	1	0	0	3	1	5	3	0	0	0	1	0	0	0	16	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	0	0	171	0	652	62	0	0	237	188	0	363	151	112	127	310	237	243	106	244	13	0	200	545	395	156	1036	0	131	289	730	27	41	156	356	317	79	14	52	72	331	0	275	57	67	40	0	0
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	0	0	767	0	999	394	259	42	733	1928	351	921	710	3111	1522	876	3857	1102	1091	610	14	0	524	2839	662	366	3089	0	869	1176	3285	904	1317	1073	1088	3895	1381	1308	811	2042	385	81	2188	3653	2964	3401	0	0
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	0	0	85	28	40	64	17	32	26	14	111	134	4	4	8	8	0	80	106	106	47	150	253	0	0	239	34	0	32	104	44	25	0	8	0	27	12	0	68	0	0	4	11	0	0	0	0	0
PWY-6486: D-galacturonate degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0	0	167	45	85	120	213	1227	108	88	300	223	81	49	183	30	4342	903	343	348	336	474	863	124	65	922	619	0	279	861	260	203	128	75	22	640	258	26	346	173	0	35	431	4707	3510	4119	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0	0	453	526	341	1105	187	923	780	816	634	953	81	697	1542	436	3853	1458	1460	962	1506	375	1538	1022	239	1566	1649	5	992	1559	1694	116	212	489	17	1250	567	438	255	90	0	107	923	4144	3216	3739	1743	0
PWY-6527: stachyose degradation	0	0	1114	310	544	1109	1278	2757	462	510	1639	1282	402	303	587	576	3843	2591	1638	1445	1548	694	3630	415	202	2291	1822	18	793	3831	1145	124	546	711	257	1225	1050	227	1493	576	60	106	1858	3682	2856	3373	0	0
PWY-6531: mannitol cycle	0	0	18	0	0	24	48	76	20	0	33	28	8	6	11	8	0	109	35	17	40	22	77	33	13	35	10	0	21	112	15	0	11	0	0	74	19	0	20	13	0	0	41	0	0	0	0	0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	4	0	919	980	1422	864	1880	2010	1127	1142	1223	1972	752	1322	1443	2453	54	977	1489	1318	1607	210	1643	2187	522	1621	1836	76	1605	1851	2557	710	1055	663	1083	1688	1827	632	542	1053	260	192	1471	86	40	53	0	0
PWY-6549: L-glutamine biosynthesis III	0	0	317	98	147	263	306	651	103	149	432	391	47	473	278	542	417	595	417	260	413	163	498	418	132	785	560	0	337	969	240	60	396	116	43	636	714	58	244	72	5	31	473	417	361	381	0	0
PWY-6562: norspermidine biosynthesis	0	0	22	0	10	30	16	18	0	29	15	61	36	18	58	12	76	77	49	94	36	0	79	24	0	26	30	0	67	62	72	0	28	36	27	85	69	0	15	96	0	0	23	117	72	87	0	0
PWY-6565: superpathway of polyamine biosynthesis III	0	0	22	0	11	31	17	18	0	29	15	61	37	17	59	13	0	79	50	97	36	0	81	23	0	26	30	0	69	63	73	0	29	35	28	48	42	0	16	0	0	0	23	0	0	0	0	0
PWY-6572: chondroitin sulfate degradation I (bacterial)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6588: pyruvate fermentation to acetone	6	24	157	126	217	156	79	254	434	708	201	313	147	607	782	145	135	707	512	399	394	181	645	1200	352	561	740	0	203	623	1144	54	323	105	138	2189	365	289	166	184	0	46	219	136	118	92	0	0
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	0	0	423	265	428	321	228	435	719	867	470	1032	493	569	818	448	184	756	579	831	708	217	795	588	373	349	1795	0	650	795	760	431	526	436	755	963	674	508	387	815	44	70	1182	188	153	133	0	0
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	0	0	122	79	327	95	128	98	205	286	248	517	184	346	354	213	0	434	112	179	77	67	119	341	157	342	432	0	260	431	313	114	194	184	357	213	164	143	163	125	197	12	489	0	0	0	0	0
PWY-6596: adenosine nucleotides degradation I	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6598: sciadonate biosynthesis	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6606: guanosine nucleotides degradation II	0	0	133	72	295	229	188	239	224	310	261	565	212	307	397	180	138	544	310	550	315	199	196	309	153	605	420	0	333	476	336	96	172	192	310	182	137	131	250	102	212	28	441	172	154	168	10	0
PWY-6608: guanosine nucleotides degradation III	0	11	258	84	331	520	426	590	429	551	373	1045	914	341	973	190	1028	1254	581	851	535	834	938	352	192	1139	530	0	842	990	531	101	190	268	334	194	142	151	569	104	378	63	498	303	291	386	1866	0
PWY-6609: adenine and adenosine salvage III	0	4	2049	1603	3113	1978	1114	2248	3954	4523	2881	5143	3293	6385	4767	5955	6240	2575	3530	2626	2408	838	3354	5597	3734	2327	9597	21	4211	2992	5273	4226	3867	2055	5319	6539	3476	2595	1891	6013	602	390	6852	6285	4906	5411	2306	0
PWY-6612: superpathway of tetrahydrofolate biosynthesis	0	0	275	98	425	199	165	180	138	560	189	789	371	558	518	604	2179	289	401	528	243	138	390	1004	302	645	1309	0	461	509	689	0	362	312	554	891	450	311	127	422	0	38	555	2602	2072	2213	1396	0
PWY-6628: superpathway of L-phenylalanine biosynthesis	0	0	869	369	804	658	978	992	526	595	495	1230	505	796	964	667	4483	1227	885	896	977	396	1001	753	320	1537	1664	0	661	1123	956	453	550	435	871	977	647	238	575	584	85	121	1069	4938	3846	4222	500	0
PWY-6629: superpathway of L-tryptophan biosynthesis	0	0	717	255	420	570	484	523	118	91	649	348	168	149	374	190	3395	1134	486	393	420	397	826	203	0	1642	599	0	124	1084	180	0	52	236	0	225	336	0	427	198	70	0	358	3819	3004	3440	0	0
PWY-6630: superpathway of L-tyrosine biosynthesis	0	0	581	248	740	578	408	793	524	502	504	982	548	442	875	539	4336	974	570	621	339	273	1036	804	189	1536	1789	0	604	1882	640	498	510	269	557	820	381	161	470	524	83	77	374	4798	3685	4197	0	0
PWY-6641: superpathway of sulfolactate degradation	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6654: phosphopantothenate biosynthesis III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	0	0	0	0	0	0	0	0	5	0	5	2	0	2	3	0	1973	5	0	0	0	27	0	48	0	135	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2128	1575	1800	0	0
PWY-6700: queuosine biosynthesis	19	112	4527	3638	1268	4685	4145	4770	7398	5473	3076	6694	5138	3949	6508	2153	3724	3358	4369	4498	4344	1800	4295	3958	3483	3342	9841	27	6462	4857	6524	4614	3698	2322	3143	4998	2267	2593	2563	3593	330	718	3323	4186	3133	3750	1488	0
PWY-6703: preQ0 biosynthesis	26	112	2206	2849	780	3640	1396	2795	4703	2926	3440	2629	1847	2118	3932	1451	3452	2672	3140	1849	3031	1318	2935	2201	1878	2852	6441	5	3775	3960	3816	623	1677	910	1142	2808	1535	1302	1097	1985	235	508	2143	3711	2939	3295	1418	0
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)	5	0	0	0	76	35	6	0	0	0	33	6	3	0	0	0	2490	0	0	21	0	30	0	24	0	376	93	0	0	0	3	0	0	3	0	0	0	9	0	0	0	0	0	2821	2154	2530	0	0
PWY-6728: methylaspartate cycle	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	230	0	0	0	0	0	0	11	29	0	65	0	0
PWY-6731: starch degradation III	0	0	6	0	0	41	6	0	13	49	32	80	6	22	95	13	112	22	22	34	0	41	18	35	29	186	93	0	96	0	71	0	28	5	0	15	6	0	0	0	6	0	14	116	104	85	0	0
PWY-6737: starch degradation V	18	148	3138	1366	1210	3596	3806	5428	2624	2116	4224	4290	1948	2105	2933	2892	2646	5890	4188	3980	4425	1689	7687	1622	1240	5294	5451	41	3488	8612	3010	2239	2245	1718	2007	2718	2884	980	3459	3079	214	293	5642	2868	2336	2461	1316	0
PWY-6749: CMP-legionaminate biosynthesis I	0	0	12	9	5	0	12	46	0	14	90	11	8	0	134	0	0	64	57	55	31	22	50	0	0	45	5	0	87	72	222	0	0	0	0	25	25	0	112	0	0	28	16	0	0	0	0	0
PWY-6763: salicortin biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing	0	0	0	0	127	55	15	0	10	0	47	16	0	5	20	5	3087	21	0	46	0	160	0	65	0	836	138	0	0	0	16	0	5	25	0	0	0	0	0	0	0	0	0	3916	2857	3256	0	0
PWY-6823: molybdenum cofactor biosynthesis	0	0	25	0	114	36	29	0	15	21	19	26	0	16	20	30	1365	97	33	46	0	54	0	180	0	327	229	0	0	37	105	0	0	14	10	94	48	0	0	24	0	0	0	1068	843	974	0	0
PWY-6834: spermidine biosynthesis III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)	0	0	3	0	22	9	1	0	3	0	16	3	1	4	3	5	58	4	1	17	0	34	0	17	0	222	59	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	81	53	83	1448	0
PWY-6857: retinol biosynthesis	0	0	0	0	0	0	26	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	71	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6859: all-trans-farnesol biosynthesis	0	0	138	219	460	178	100	96	191	408	89	394	413	469	434	163	1429	305	205	321	116	176	193	663	154	501	784	0	245	199	800	146	236	194	244	599	304	254	134	356	39	4	302	1163	949	1073	0	0
PWY-6863: pyruvate fermentation to hexanol	0	0	59	0	0	137	65	329	0	0	109	100	0	0	0	0	0	165	80	73	104	0	264	0	0	147	0	0	0	195	35	0	0	0	0	100	46	0	58	84	0	5	264	0	0	0	0	0
PWY-6876: isopropanol biosynthesis	0	0	292	418	915	232	111	208	1027	874	480	1448	704	1794	947	1355	0	131	571	512	188	116	155	1191	489	427	2717	8	831	274	1140	874	1121	564	1794	911	945	681	66	1990	228	67	1588	0	0	0	0	0
PWY-6883: pyruvate fermentation to butanol II	0	0	43	8	7	96	76	167	8	19	110	102	7	46	18	7	0	186	95	87	109	33	160	29	0	172	49	0	29	233	51	0	35	15	11	125	61	12	53	106	0	5	241	0	0	0	0	0
PWY-6891: thiazole biosynthesis II (Bacillus)	0	0	0	17	141	56	25	0	0	49	91	38	11	0	8	0	2803	97	76	26	0	111	13	111	0	590	207	0	0	14	22	0	0	14	0	35	40	0	0	8	0	0	0	3191	2492	2918	0	0
PWY-6892: thiazole biosynthesis I (E. coli)	0	0	6	21	173	69	31	0	21	66	113	70	53	16	83	0	3075	120	95	155	96	156	17	137	0	1086	425	0	0	18	153	0	65	28	6	46	53	0	0	10	0	0	0	3621	2711	3155	0	0
PWY-6895: superpathway of thiamin diphosphate biosynthesis II	0	0	0	82	500	257	119	0	0	231	375	181	56	0	38	0	1637	395	340	127	0	405	65	469	0	1480	870	0	0	70	105	0	0	67	0	164	184	0	0	37	0	0	0	1990	1452	1754	0	0
PWY-6897: thiamin salvage II	0	0	2055	1267	1271	1493	1253	2144	1977	2096	1075	3146	1376	1801	2458	1837	1223	1286	1783	2040	1480	686	1448	2283	1145	1551	3720	14	2331	2020	2073	2449	1614	839	1955	1954	1481	773	1146	738	199	363	1810	1505	1091	1332	36	0
PWY-6901: superpathway of glucose and xylose degradation	0	0	337	288	517	702	262	599	520	289	745	866	150	183	377	566	4602	1326	1134	445	896	300	747	475	237	1799	1105	0	700	1533	350	93	725	252	86	666	1049	146	496	433	165	80	544	4737	3797	4157	0	0
PWY-6906: chitin derivatives degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1356	0
PWY-6936: seleno-amino acid biosynthesis	27	157	685	418	817	1656	1062	720	806	920	1353	1602	958	1210	1147	1342	4741	2155	973	1216	1245	916	1616	1452	422	1717	1898	60	1134	1774	1384	489	772	605	613	1423	1713	492	982	659	376	92	1521	5046	3744	4461	1511	0
PWY-6948: sitosterol degradation to androstenedione	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
PWY-6953: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis	0	0	21	10	10	8	98	16	38	89	41	184	246	44	173	0	0	43	195	158	213	280	83	11	31	47	166	0	177	286	140	169	15	44	30	55	19	9	72	10	0	0	31	0	0	0	0	0
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	0	46	694	203	546	858	694	1237	218	577	441	1452	321	1035	679	923	4130	779	856	878	950	141	1139	1154	388	1210	1704	0	590	554	756	308	852	477	774	1506	1158	443	593	1237	0	85	1147	4797	3619	4110	50	0
PWY-7003: glycerol degradation to butanol	0	0	384	234	485	377	202	609	917	509	477	711	229	894	844	362	381	1319	968	638	599	396	1320	1301	452	1108	1315	0	384	1281	717	143	502	251	345	1597	702	292	407	439	0	93	560	385	333	265	0	0
PWY-7007: methyl ketone biosynthesis	23	213	315	142	82	240	268	402	330	104	230	484	29	115	363	68	160	802	330	525	370	78	803	42	70	601	881	17	269	515	223	12	228	104	0	140	503	36	241	118	0	32	398	242	209	208	0	0
PWY-7013: L-1,2-propanediol degradation	0	0	97	405	25	223	68	208	29	13	255	84	18	12	97	93	7788	1165	241	36	147	951	501	90	0	258	451	0	48	422	83	107	43	14	6	201	43	1	84	220	0	3	643	8585	6808	7440	0	0
PWY-7036: very long chain fatty acid biosynthesis II	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7039: phosphatidate metabolism, as a signaling molecule	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	66	74	0	0
PWY-7053: docosahexaenoate biosynthesis I (lower eukaryotes)	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis	0	0	9	0	7	9	2	3	19	35	0	21	27	7	31	15	0	9	51	20	16	0	6	27	8	13	101	0	17	11	63	0	24	22	16	55	45	36	12	9	0	5	22	0	0	0	0	0
PWY-7094: fatty acid salvage	28	190	0	21	7	0	0	65	0	15	4	80	46	5	46	0	0	103	2	11	0	10	0	25	14	0	115	0	3	0	45	0	29	0	51	35	39	61	4	0	0	0	0	0	0	0	0	0
PWY-7111: pyruvate fermentation to isobutanol (engineered)	46	290	3898	828	947	4582	4382	5679	725	700	3605	2522	622	1048	1262	2048	6794	5855	3838	2757	4734	2252	6253	1937	417	5380	2485	107	1828	7668	2259	502	1262	1081	801	2770	2678	418	2933	1453	300	224	3832	8173	6735	6912	2908	0
PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type	4	25	198	86	205	151	289	325	44	123	315	376	84	207	149	227	1769	464	299	252	253	123	322	335	69	1024	512	39	153	990	226	88	561	128	83	320	1542	50	272	299	22	29	313	2259	1705	1942	0	0
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	18	196	194	99	155	184	391	833	307	207	406	445	52	16	292	237	992	407	347	218	234	120	134	50	216	979	506	29	45	1176	130	16	726	122	44	158	1516	57	272	70	16	26	168	1233	1006	1070	0	0
PWY-7118: chitin degradation to ethanol	22	154	25	0	0	0	0	29	0	0	16	0	0	0	17	0	55	81	46	65	57	0	0	0	0	0	0	0	25	18	0	0	0	0	3	77	31	32	0	16	0	0	0	90	72	93	0	0
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway)	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	5	0	890	1182	1385	2112	1579	1879	1244	1226	1541	2061	834	1323	1664	2234	4027	1027	2069	1415	2525	434	2014	2231	550	2308	1917	78	1980	3122	3261	719	1088	702	1075	1750	1915	663	523	1044	276	344	1467	3899	2903	3615	719	0
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0	19	1419	1527	1394	1622	1701	2254	1987	1742	1530	2499	1267	2071	2140	1878	3269	1694	2116	1782	2252	365	1977	2605	862	2140	3281	25	2197	2773	3799	1272	2208	960	1770	2734	2103	885	800	1654	385	370	2027	3224	2591	2875	1401	0
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	0	0	890	336	439	1236	1327	2456	495	963	1227	1588	835	658	1464	843	157	1151	1383	1440	1793	653	2295	642	289	1551	1265	0	1426	3024	1607	216	620	600	628	1161	1218	447	650	717	0	188	1122	128	372	202	0	0
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	19	149	606	786	996	1282	1333	1798	790	795	1079	1380	530	741	1097	1544	2993	657	1461	963	1822	220	1527	1394	345	1716	1205	57	1350	2460	2331	448	704	459	685	1005	1315	351	362	648	180	243	949	2833	2079	2667	1329	0
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV	4	0	509	256	968	443	555	851	876	746	287	1196	302	1061	872	1842	42	803	816	685	675	168	1492	1849	154	634	1332	8	604	1186	1183	364	594	208	749	1426	827	533	266	834	54	90	1053	67	31	42	614	0
PWY-7199: pyrimidine deoxyribonucleosides salvage	0	0	1164	2286	1660	1384	842	1391	4348	2867	1780	3758	2576	3988	3194	4207	3344	1572	1465	2104	1131	289	1652	4252	1745	1672	6453	0	2595	2288	3026	2645	2346	2239	4830	3944	1952	1540	1222	3145	401	377	3907	2874	2398	2869	1344	0
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	0	0	0	24	0	77	226	0	27	310	23	316	614	85	562	409	450	103	0	390	0	0	0	0	52	0	71	0	577	0	0	0	103	249	0	0	0	17	150	0	0	0	0	403	486	273	0	0
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	0	0	21	0	305	178	21	0	17	24	130	107	37	100	17	41	3194	57	50	101	0	347	0	231	0	990	513	0	0	0	145	0	78	48	58	159	158	0	0	160	0	0	0	3795	2769	3436	0	0
PWY-7208: superpathway of pyrimidine nucleobases salvage	0	8	867	1084	1358	3332	1858	3400	1140	1136	1634	1972	799	1062	1568	2099	3655	1865	2153	1411	3050	1564	2371	1873	503	2381	1751	46	1864	3647	3024	649	1003	660	977	1432	1791	505	982	935	252	337	1362	3546	2600	3322	1444	0
PWY-7209: superpathway of pyrimidine ribonucleosides degradation	0	0	0	0	0	21	15	16	0	0	6	0	0	0	0	0	0	122	7	36	11	0	31	0	0	8	0	0	0	22	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP	5	0	560	325	1046	567	723	1043	893	810	371	1289	354	1276	952	2047	60	859	954	770	839	194	1526	1946	187	792	1464	11	736	1407	1427	399	646	254	786	1679	964	676	302	933	70	113	1151	95	45	59	745	0
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	6	0	940	511	1370	834	1001	1572	1341	1180	867	1863	947	1497	1491	2270	233	1352	1583	1397	1749	565	2175	2394	383	1742	2114	18	1508	3001	2051	654	989	708	1164	1978	1597	739	636	1274	114	228	1643	190	538	297	0	0
PWY-7219: adenosine ribonucleotides de novo biosynthesis	34	242	7015	4187	3679	6077	6197	6928	8806	7228	5586	9904	7057	6562	8720	6535	6812	7521	6856	6982	6696	2704	8094	6603	4446	6065	13745	128	8406	9784	12511	6272	5548	4605	5182	9385	6000	4344	4997	5969	1110	882	8431	6775	5232	5927	1805	0
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	2	0	3307	1770	1427	3246	2983	2429	3541	2547	1497	2699	1888	5222	2454	1788	3889	2456	2064	2166	2595	1415	1808	4013	1522	2068	5608	73	1764	2911	4500	3934	2638	1316	1939	4079	1901	1596	1609	3337	731	403	2656	3691	2630	3479	1613	0
PWY-7221: guanosine ribonucleotides de novo biosynthesis	25	192	5577	3930	3852	5090	4806	5425	8122	6294	4344	8362	5175	8259	6991	7268	5302	5752	5556	4943	5380	2195	5427	7806	3807	4537	14071	123	6620	6689	8941	6264	5334	3439	6612	9330	5092	4094	3393	8081	1044	825	8729	5642	4558	4898	1633	0
